iter	Passed	Remaining
398	153685	231491
399	154068	231102
400	154448	230710
401	154822	230308
402	155196	229906
403	155572	229508
404	155952	229115
405	156343	228738
406	156717	228337
407	157092	227938
408	157472	227545
409	157855	227158
410	158238	226770
411	158618	226378
412	158994	225980
413	159370	225582
414	159747	225186
415	160123	224788
416	160497	224388
417	160877	223996
418	161251	223596
419	161632	223206
420	162007	222807
421	162391	222422
422	162769	222028
423	163144	221629
424	163517	221229
425	163894	220833
426	164268	220435
427	164644	220039
428	165029	219653
429	165411	219266
430	165786	218868
431	166170	218483
432	166553	218096
433	166934	217706
434	167315	217318
435	167699	216931
436	168075	216536
437	168456	216147
438	168830	215748
439	169213	215362
440	169593	214971
441	169976	214585
442	170363	214203
443	170742	213812
444	171125	213426
445	171499	213028
446	171882	212641
447	172258	212247
448	172640	211859
449	173010	211457
450	173388	211064
451	173770	210677
452	174146	210283
453	174523	209889
454	174902	209498
455	175278	209103
456	175655	208711
457	176037	208324
458	176431	207950
459	176806	207555
460	177183	207162
461	177560	206769
462	177940	206380
463	178317	205987
464	178694	205594
465	179066	205196
466	179440	204800
467	179818	204408
468	180193	204014
469	180578	203631
470	180955	203238
471	181331	202845
472	181710	202455
473	182081	202056
474	182461	201667
475	182841	201279
476	183219	200887
477	183597	200497
478	183980	200112
479	184361	199724
480	184746	199342
481	185128	198955
482	185508	198567
483	185888	198179
484	186266	197788
485	186653	197407
486	187029	197014
487	187405	196622
488	187782	196230
489	188155	195834
490	188532	195443
491	188911	195054
492	189288	194664
493	189669	194277
494	190054	193894
495	190429	193501
496	190805	193108
497	191178	192714
498	191559	192326
499	191935	191935
500	192308	191540
501	192686	191150
502	193059	190756
503	193435	190364
504	193811	189973
505	194188	189583
506	194575	189202
507	194954	188813
508	195331	188423
509	195703	188029
510	196077	187635
511	196460	187251
512	196851	186874
513	197229	186485
514	197604	186093
515	197979	185701
516	198352	185308
517	198741	184929
518	199115	184536
519	199490	184145
520	199877	183764
521	200254	183374
522	200630	182984
523	201004	182591
524	201375	182196
525	201752	181807
526	202139	181426
527	202521	181041
528	202900	180654
529	203274	180262
530	203656	179876
531	204033	179488
532	204404	179093
533	204784	178706
534	205160	178317
535	205538	177929
536	205914	177538
537	206293	177151
538	206675	176767
539	207057	176382
540	207437	175995
541	207815	175608
542	208194	175221
543	208570	174830
544	208950	174444
545	209324	174053
546	209695	173660
547	210066	173266
548	210440	172875
549	210813	172483
550	211189	172094
551	211564	171704
552	211938	171313
553	212311	170922
554	212691	170536
555	213072	170151
556	213448	169762
557	213830	169378
558	214203	168987
559	214582	168600
560	214959	168212
561	215335	167823
562	215716	167438
563	216090	167048
564	216471	166663
565	216856	166281
566	217241	165900
567	217614	165509
568	217987	165118
569	218371	164736
570	218753	164352
571	219130	163965
572	219502	163573
573	219877	163184
574	220251	162794
575	220625	162404
576	221000	162016
577	221372	161625
578	221747	161236
579	222130	160853
580	222516	160472
581	222895	160086
582	223269	159697
583	223653	159314
584	224027	158925
585	224404	158538
586	224781	158150
587	225164	157768
588	225541	157381
589	225915	156992
590	226293	156606
591	226676	156223
592	227066	155845
593	227445	155459
594	227828	155076
595	228205	154689
596	228580	154301
597	228959	153916
598	229340	153531
599	229712	153141
600	230084	152751
601	230455	152361
602	230839	151979
603	231219	151594
604	231598	151209
605	231974	150821
606	232347	150432
607	232721	150044
608	233103	149660
609	233485	149277
610	233859	148889
611	234236	148502
612	234610	148114
613	234986	147727
614	235360	147339
615	235733	146950
616	236127	146574
617	236521	146199
618	236906	145818
619	237297	145440
620	237682	145059
621	238057	144671
622	238432	144284
623	238816	143902
624	239203	143522
625	239579	143135
626	239955	142748
627	240339	142366
628	240716	141980
629	241100	141598
630	241479	141213
631	241853	140826
632	242229	140439
633	242611	140056
634	242995	139674
635	243396	139302
636	243790	138926
637	244173	138543
638	244558	138162
639	244936	137776
640	245314	137391
641	245689	137004
642	246063	136617
643	246438	136229
644	246814	135843
645	247207	135466
646	247590	135084
647	247980	134705
648	248368	134325
649	248745	133939
650	249123	133554
651	249500	133169
652	249881	132785
653	250259	132400
654	250632	132012
655	251013	131628
656	251390	131243
657	251764	130856
658	252138	130468
659	252518	130085
660	252900	129702
661	253278	129317
662	253655	128932
663	254037	128549
664	254411	128161
665	254789	127777
666	255161	127389
667	255538	127004
