iter	Logloss
0	0.6653004279
1	0.6463113581
2	0.6306112899
3	0.6232298243
4	0.6138052837
5	0.6031714095
6	0.5957010466
7	0.5898100897
8	0.5848603121
9	0.5805369409
10	0.5744023944
11	0.5691041322
12	0.5659750341
13	0.562598941
14	0.5600144383
15	0.554270541
16	0.5519709143
17	0.5447495169
18	0.5420158843
19	0.539021959
20	0.5366212499
21	0.5330440702
22	0.5300525469
23	0.5277044482
24	0.5256749615
25	0.5225935876
26	0.5202597463
27	0.517201825
28	0.5144926753
29	0.5130722882
30	0.5095914421
31	0.5082101574
32	0.504094987
33	0.5015055852
34	0.4995854985
35	0.4979852832
36	0.4958740112
37	0.4943467016
38	0.4917505791
39	0.4895939873
40	0.4881689442
41	0.4868447868
42	0.4848987739
43	0.4835408554
44	0.482534898
45	0.4804238106
46	0.4787487786
47	0.4771523164
48	0.4760688485
49	0.4750931757
50	0.4741091684
51	0.4729017541
52	0.4713317078
53	0.4701221885
54	0.4678583075
55	0.4666457969
56	0.4653241343
57	0.4644999899
58	0.4629023868
59	0.4621159978
60	0.4612821547
61	0.4596319779
62	0.458695153
63	0.4576971004
64	0.4564466997
65	0.455538962
66	0.4546808423
67	0.4537220602
68	0.4529399428
69	0.45174363
70	0.4504370945
71	0.4496734745
72	0.4488944839
73	0.4480319234
74	0.4469808994
75	0.4462966582
76	0.4454117777
77	0.4445297039
78	0.4436108687
79	0.4429826916
80	0.4424900488
81	0.4418844747
82	0.4410571226
83	0.4395305555
84	0.4389239258
85	0.4380922795
86	0.4373055573
87	0.4365538794
88	0.4354306718
89	0.4341036047
90	0.4334799179
91	0.4326457739
92	0.4320590278
93	0.4314503342
94	0.4305833155
95	0.4299650858
96	0.4293264474
97	0.4287549667
98	0.4275335276
99	0.4269564348
100	0.4263125409
101	0.424861919
102	0.4238306883
103	0.4229776233
104	0.4220375896
105	0.4214582776
106	0.4209911753
107	0.4204777588
108	0.4199407082
109	0.4190140283
110	0.4184348239
111	0.4174480589
112	0.4170421396
113	0.4163153217
114	0.4153137406
115	0.4149391003
116	0.414344871
117	0.4138660766
118	0.4134555827
119	0.4130136101
120	0.4125469515
121	0.4120644992
122	0.4114973712
123	0.4110340154
124	0.4105645483
125	0.4100363521
126	0.4096120292
127	0.408778268
128	0.4083604839
129	0.4078252083
130	0.4069758304
131	0.406170826
132	0.4058050571
133	0.4053486844
134	0.4050430599
135	0.4045798949
136	0.4039586735
137	0.4033720362
138	0.4029186108
139	0.4024636448
140	0.4004838053
141	0.4000704461
142	0.399707255
143	0.3991396427
144	0.3986712426
145	0.3979874012
146	0.3974903114
147	0.397140096
148	0.3966615224
149	0.3962092866
150	0.3956779656
151	0.3952660748
152	0.3949284692
153	0.3944384944
154	0.3940827768
155	0.3932993017
156	0.3929337737
157	0.3923757409
158	0.3919895094
159	0.3916591886
160	0.391197546
161	0.3905767379
162	0.3902602326
163	0.38980989
164	0.3890378986
165	0.3885483229
166	0.387910529
167	0.3872921657
168	0.3867930451
169	0.386397555
170	0.3860617179
171	0.3857097123
172	0.3852301177
173	0.3847236137
174	0.3842424335
175	0.383920366
176	0.3835549812
177	0.383235322
178	0.382871477
179	0.3824929778
180	0.382046146
181	0.3817107616
182	0.3813783818
183	0.3810364628
184	0.3801845699
185	0.3798548682
186	0.3795513785
187	0.3791760407
188	0.3788183352
189	0.3783614391
190	0.3779344717
191	0.3776278662
192	0.3772217273
193	0.376726923
194	0.3764054667
195	0.3760621518
196	0.3757363129
