iter	Passed	Remaining
398	155778	234643
399	156196	234294
400	156613	233943
401	157020	233578
402	157405	233178
403	157812	232812
404	158216	232441
405	158604	232046
406	158991	231650
407	159389	231270
408	159781	230881
409	160176	230497
410	160566	230105
411	160950	229706
412	161332	229302
413	161711	228895
414	162092	228491
415	162472	228085
416	162856	227686
417	163238	227284
418	163619	226880
419	164010	226490
420	164389	226084
421	164774	225686
422	165158	225286
423	165537	224881
424	165915	224473
425	166294	224068
426	166674	223663
427	167050	223253
428	167436	222858
429	167820	222459
430	168210	222069
431	168592	221667
432	168971	221262
433	169356	220866
434	169741	220469
435	170132	220080
436	170514	219679
437	170898	219280
438	171275	218874
439	171662	218479
440	172049	218085
441	172438	217693
442	172832	217308
443	173218	216912
444	173607	216521
445	173987	216119
446	174379	215731
447	174759	215328
448	175145	214933
449	175523	214528
450	175902	214124
451	176290	213732
452	176673	213334
453	177050	212928
454	177430	212526
455	177810	212124
456	178206	211742
457	178598	211354
458	178981	210956
459	179360	210553
460	179743	210155
461	180130	209762
462	180520	209372
463	180903	208975
464	181282	208572
465	181660	208169
466	182042	207769
467	182420	207366
468	182802	206968
469	183192	206578
470	183574	206180
471	183959	205784
472	184346	205392
473	184726	204991
474	185110	204595
475	185492	204197
476	185877	203802
477	186265	203411
478	186655	203021
479	187042	202629
480	187427	202234
481	187814	201842
482	188206	201455
483	188595	201064
484	188979	200669
485	189362	200272
486	189748	199879
487	190132	199482
488	190518	199089
489	190904	198696
490	191285	198297
491	191666	197899
492	192048	197502
493	192438	197112
494	192826	196722
495	193205	196321
496	193584	195921
497	193964	195522
498	194351	195130
499	194734	194734
500	195112	194333
501	195492	193934
502	195870	193534
503	196251	193136
504	196631	192737
505	197009	192337
506	197394	191943
507	197775	191546
508	198155	191148
509	198546	190760
510	198931	190367
511	199317	189974
512	199697	189576
513	200079	189179
514	200462	188785
515	200849	188393
516	201227	187993
517	201614	187602
518	201999	187209
519	202380	186812
520	202773	186427
521	203160	186035
522	203544	185641
523	203927	185246
524	204308	184850
525	204696	184459
526	205087	184072
527	205476	183683
528	205859	183289
529	206240	182892
530	206630	182503
531	207014	182110
532	207396	181714
533	207780	181321
534	208158	180923
535	208558	180543
536	208953	180159
537	209339	179767
538	209719	179370
539	210106	178979
540	210493	178589
541	210884	178201
542	211274	177813
543	211655	177417
544	212042	177025
545	212424	176631
546	212813	176241
547	213196	175848
548	213578	175453
549	213960	175058
550	214344	174665
551	214728	174272
552	215108	173876
553	215490	173481
554	215876	173089
555	216263	172700
556	216647	172307
557	217039	171919
558	217418	171523
559	217802	171130
560	218183	170735
561	218581	170353
562	218978	169970
563	219363	169579
564	219753	169190
565	220138	168799
566	220524	168407
567	220917	168021
568	221301	167628
569	221688	167238
570	222070	166844
571	222456	166453
572	222839	166059
573	223220	165665
574	223598	165268
575	223980	164874
576	224363	164481
577	224744	164086
578	225128	163694
579	225523	163310
580	225911	162920
581	226291	162525
582	226670	162129
583	227062	161743
584	227444	161349
585	227825	160955
586	228210	160563
587	228600	160176
588	228997	159792
589	229382	159401
590	229772	159013
591	230164	158626
592	230552	158237
593	230941	157848
594	231334	157462
595	231716	157069
596	232101	156678
597	232481	156283
598	232859	155887
599	233244	155496
600	233627	155103
601	234006	154708
602	234394	154319
603	234781	153929
604	235167	153539
605	235549	153145
606	235926	152749
607	236305	152355
608	236688	151962
609	237072	151570
610	237454	151178
611	237839	150787
612	238218	150392
613	238595	149996
614	238989	149611
615	239377	149222
616	239765	148833
617	240148	148441
618	240531	148049
619	240918	147659
620	241301	147267
621	241685	146876
622	242066	146483
623	242454	146094
624	242835	145701
625	243222	145311
626	243605	144920
627	243992	144530
628	244374	144138
629	244762	143749
630	245150	143360
631	245535	142970
632	245922	142580
633	246310	142191
634	246689	141798
635	247076	141408
636	247465	141020
637	247853	140631
638	248235	140239
639	248614	139845
640	249001	139456
641	249384	139065
642	249766	138673
643	250145	138279
644	250525	137886
645	250911	137496
646	251305	137111
647	251696	136723
648	252080	136332
649	252455	135937
650	252837	135545
651	253214	135151
652	253597	134760
653	253985	134371
654	254366	133979
655	254751	133589
656	255131	133196
657	255512	132804
658	255890	132410
659	256274	132020
660	256660	131630
661	257039	131237
662	257423	130847
663	257809	130457
664	258191	130066
665	258572	129674
666	258947	129279
667	259352	128899
668	259737	128509
669	260116	128116
670	260500	127726
671	260883	127336
672	261276	126950
673	261665	126562
674	262044	126169
675	262435	125782
676	262822	125393
677	263201	125001
678	263587	124612
679	263970	124221
680	264355	123831
681	264737	123440
682	265120	123049
683	265504	122660
684	265889	122270
685	266269	121878
686	266652	121488
687	267031	121095
688	267414	120705
689	267803	120317
690	268186	119926
691	268563	119534
692	268943	119142
693	269334	118755
694	269720	118366
695	270101	117975
696	270490	117587
697	270874	117197
698	271256	116807
699	271649	116421
700	272034	116031
701	272421	115643
702	272803	115252
703	273183	114861
704	273563	114469
705	273945	114079
706	274326	113688
707	274706	113297
708	275089	112907
709	275472	112516
710	275852	112125
711	276234	111735
712	276616	111345
713	277000	110955
714	277389	110567
715	277769	110176
716	278160	109789
717	278583	109415
718	279039	109054
719	279448	108674
720	279836	108286
721	280238	107903
722	280624	107514
723	281005	107123
724	281398	106737
725	281781	106347
726	282161	105955
727	282542	105565
728	282926	105175
729	283306	104784
730	283684	104392
731	284064	104001
732	284445	103610
733	284831	103222
734	285211	102831
735	285599	102443
736	285987	102055
737	286376	101667
738	286756	101276
739	287132	100884
740	287509	100492
741	287887	100101
742	288268	99710
743	288649	99320
744	289027	98928
745	289413	98540
746	289807	98154
747	290189	97764
748	290565	97372
749	290952	96984
750	291335	96594
751	291726	96207
752	292116	95820
753	292496	95429
754	292882	95041
755	293265	94651
756	293646	94261
757	294037	93874
758	294416	93483
759	294797	93093
760	295180	92704
761	295559	92313
762	295938	91923
763	296322	91534
764	296706	91145
765	297086	90755
766	297469	90365
767	297857	89977
768	298242	89589
769	298624	89199
770	299011	88811
771	299394	88422
772	299786	88035
773	300168	87646
774	300549	87256
775	300939	86869
776	301320	86479
777	301706	86090
778	302088	85701
779	302478	85314
780	302869	84927
781	303257	84539
782	303642	84151
783	304023	83761
784	304414	83374
785	304797	82985
786	305177	82595
787	305554	82205
788	305934	81815
789	306318	81426
790	306708	81039
791	307098	80652
792	307478	80262
793	307860	79873
794	308246	79484
795	308638	79098
796	309044	78715
797	309434	78328
798	309854	77948
799	310281	77570
800	310709	77192
801	311132	76813
802	311548	76432
803	311976	76053
804	312369	75667
805	312754	75278
806	313142	74890
807	313523	74500
808	313905	74111
809	314297	73724
810	314683	73335
811	315072	72947
812	315453	72558
813	315834	72168
814	316212	71778
815	316594	71388
816	316980	71000
817	317359	70610
818	317739	70220
819	318115	69830
820	318494	69440
821	318875	69050
822	319253	68660
823	319638	68272
824	320030	67885
825	320419	67497
826	320800	67108
827	321182	66719
828	321567	66330
829	321946	65940
830	322333	65552
831	322718	65164
832	323096	64774
833	323482	64386
834	323872	63998
835	324250	63609
836	324639	63221
837	325019	62831
838	325402	62443
839	325780	62053
840	326156	61663
841	326531	61273
842	326911	60883
843	327298	60495
844	327677	60106
845	328059	59717
846	328437	59328
847	328814	58938
848	329193	58549
849	329574	58160
850	329958	57771
851	330346	57384
852	330726	56995
853	331115	56607
854	331500	56219
855	331879	55830
856	332262	55441
857	332647	55053
858	333031	54665
859	333411	54276
860	333798	53888
861	334188	53501
862	334568	53112
863	334954	52724
864	335337	52335
865	335722	51947
866	336102	51558
867	336481	51169
868	336864	50781
869	337251	50393
870	337633	50005
871	338013	49616
872	338392	49227
873	338767	48838
874	339147	48449
875	339527	48060
876	339904	47671
877	340304	47286
878	340685	46897
879	341079	46510
880	341465	46123
881	341850	45735
882	342236	45347
883	342619	44959
884	343000	44570
885	343375	44181
886	343753	43792
887	344130	43403
888	344510	43015
889	344894	42627
890	345278	42239
891	345661	41851
892	346041	41463
893	346418	41074
894	346806	40686
895	347186	40298
896	347563	39909
897	347942	39521
898	348323	39133
899	348703	38744
900	349085	38356
901	349465	37968
902	349842	37579
903	350227	37192
904	350620	36805
905	351004	36417
906	351394	36030
907	351782	35643
908	352167	35255
909	352548	34867
910	352927	34479
911	353309	34091
912	353693	33703
913	354073	33315
914	354453	32927
915	354832	32539
916	355216	32151
917	355594	31763
918	355971	31375
919	356352	30987
920	356733	30599
921	357109	30211
922	357488	29822
923	357870	29435
924	358244	29046
925	358619	28658
926	358996	28270
927	359380	27882
928	359763	27495
929	360151	27108
930	360543	26721
931	360926	26333
932	361308	25946
933	361699	25559
934	362085	25171
935	362477	24784
936	362858	24397
937	363236	24009
938	363629	23622
939	364013	23234
940	364395	22847
941	364777	22459
942	365160	22072
943	365549	21685
944	365933	21297
945	366315	20910
946	366698	20522
947	367074	20134
948	367457	19747
949	367848	19360
950	368227	18972
951	368604	18585
952	368993	18197
953	369380	17810
954	369760	17423
955	370138	17035
956	370528	16648
957	370914	16261
958	371297	15874
959	371680	15486
960	372067	15099
961	372446	14712
962	372833	14324
963	373213	13937
964	373594	13550
965	373976	13162
966	374358	12775
967	374742	12388
968	375126	12000
969	375507	11613
970	375885	11226
971	376263	10838
972	376640	10451
973	377020	10064
974	377403	9677
975	377782	9289
976	378174	8902
977	378557	8515
978	378938	8128
979	379322	7741
980	379704	7354
981	380088	6967
982	380473	6579
983	380864	6192
984	381249	5805
985	381632	5418
986	382013	5031
987	382396	4644
988	382780	4257
989	383161	3870
990	383541	3483
991	383928	3096
992	384307	2709
993	384688	2322
994	385072	1935
995	385451	1547
996	385830	1160
997	386209	773
998	386588	386
999	386970	0
